Record_Type,CUSIP_Number,Pool_ID,Issue_Type,Pool_Type,Pool_Issue_Date,Issuer_ID,As-Of_Date,Loan_Count
T,3620E0CL8,892931,H,ML,20100501,9281,202305,79
T,3620E0G91,892932,H,ML,20101201,4015,202305,205
T,3620E0CQ7,892933,H,ML,20100501,4015,202305,76
T,3620E0CR5,892934,H,ML,20100501,4015,202305,434
T,3620E0CS3,892935,H,ML,20100501,4015,202305,316
T,3620E0CT1,892936,H,ML,20100501,4015,202305,91
T,3620E0CU8,892937,H,RM,20100501,9281,202305,454
T,3620E0CV6,892938,H,ML,20100501,9281,202305,3
T,3620E0C61,892939,H,RM,20100601,4015,202305,188
T,3620E0C79,892940,H,RM,20100601,9281,202305,466
T,3620E0EQ5,892941,H,RM,20100801,4015,202305,187
T,3620E0DV5,892942,H,ML,20100701,9281,202305,30
T,3620E0DW3,892943,H,ML,20100701,9281,202305,60
T,3620E0DX1,892944,H,ML,20100701,9281,202305,76
T,3620E0EJ1,892945,H,ML,20100801,4015,202305,75
T,3620E0ER3,892946,H,ML,20100801,4015,202305,430
T,3620E0EU6,892947,H,ML,20100801,4015,202305,309
T,3620E0EK8,892948,H,ML,20100801,4015,202305,88
T,3620E0EE2,892949,H,RM,20100801,9281,202305,462
T,3620E0DY9,892950,H,RM,20100701,4015,202305,480
T,3620E0DZ6,892951,H,ML,20100701,4015,202305,715
T,3620E0D29,892952,H,ML,20100701,4015,202305,269
T,3620E0D37,892953,H,ML,20100701,4015,202305,125
T,3620E0EF9,892954,H,ML,20100801,9281,202305,62
T,3620E0EG7,892955,H,ML,20100801,9281,202305,79
T,3620E0EL6,892956,H,ML,20100801,4015,202305,269
T,3620E0EM4,892957,H,ML,20100801,4015,202305,125
T,3620E0EN2,892958,H,ML,20100801,4015,202305,47
T,3620E0ES1,892959,H,ML,20100801,4015,202305,35
T,3620E0ET9,892960,H,ML,20100801,4015,202305,45
T,3620E0EP7,892961,H,ML,20100801,4015,202305,28
T,3620E0FD3,892962,H,RM,20100901,4015,202305,478
T,3620E0E28,892963,H,ML,20100901,4015,202305,269
T,3620E0E36,892964,H,ML,20100901,4015,202305,124
T,3620E0E44,892965,H,RM,20100901,9281,202305,459
T,3620E0FC5,892966,H,RM,20100901,4015,202305,187
T,3620E0FZ4,892967,H,ML,20101001,4015,202305,12
T,3620E0FN1,892968,H,ML,20101001,4015,202305,35
T,3620E0FX9,892969,H,ML,20101001,4015,202305,92
T,3620E0F68,892970,H,ML,20101001,4015,202305,75
T,3620E0F84,892971,H,ML,20101001,4015,202305,425
T,3620E0F76,892972,H,ML,20101001,4015,202305,310
T,3620E0FY7,892973,H,ML,20101001,4015,202305,88
T,3620E0GG5,892974,H,RM,20101101,9281,202305,447
T,3620E0F27,892975,H,RM,20101001,9281,202305,452
T,3620E0FR2,892976,H,ML,20101001,4015,202305,125
T,3620E0FP6,892977,H,ML,20101001,4015,202305,28
T,3620E0GM2,892978,H,RM,20101101,4015,202305,478
T,3620E0GL4,892979,H,RM,20101101,4015,202305,181
T,3620E0HJ8,892980,H,ML,20101201,4015,202305,833
T,3620E0HK5,892981,H,ML,20101201,4015,202305,10
T,3620E0HL3,892982,H,RM,20101201,4015,202305,477
T,3620E0GT7,892983,H,ML,20101201,4015,202305,269
T,3620E0GU4,892984,H,ML,20101201,4015,202305,28
T,3620E0GV2,892985,H,ML,20101201,4015,202305,124
T,3620E0GW0,892986,H,ML,20101201,9281,202305,15
T,3620E0GX8,892987,H,ML,20101201,9281,202305,31
T,3620E0GY6,892988,H,ML,20101201,9281,202305,60
T,3620E0GZ3,892989,H,ML,20101201,9281,202305,78
T,3620E0G26,892990,H,RM,20101201,9281,202305,343
T,3620E0CZ7,892991,H,ML,20100601,4015,202305,53
